past_input,past_output,new_input,new_output
Can I take MIAE 380, concordia,where can I talk to an advisor, concordia
Should I take MECH 373, concordia,concordia,Can I defer my admission?,concordia
Does concordia look at ai, concordia,What is an LLM? ,ai
Will we study LLMs in Computer Science, concordia,Do I need to know math to study them?,concordia
Compare an LLM with neural networks,ai,Now with embedded models,ai
What is convolution,ai,which concordia class covers it ?, concordia
What is ai?,ai, Do I need to be good at math to properly understand it, ai
What is the future of AI?,ai,How much does it cost ,ai
Is AI dangerous?,ai, Can it become dangerous?,ai
Does concordia have Computer science courses,concordia,why is the sku blue?,unknown
Does artificial intelligence exist?,ai,Is it dangerous?, ai
What is deep learning?,ai,How is it similar to machine learning? ,ai
What Is Q-learning,ai,Can you expand on it?,ai
What is generative AI?,ai,Can it do my homework? ,ai
What is a chatbot?,ai,What is fuzzy logic?,ai
What are AI ethics?,ai,Do I need to know them to use ai? ,ai
Can AI replace human jobs?,ai,What jobs has it replaced? ,ai
What are the types of AI?, ai,Can you describe them? ,ai
Does artificial intelligence exist?, ai,Can it do my homework? ,ai
What are the admission requirements for concordia?,concordia,What is the tuition fee? ,concordia
Are there any special admission requirements?,concordia,Can I defer my admission?,concordia
what math is going to be studied in the program?,concordia,Does my math level allow me to take the course/program?,concordia
Does concordia have Computer science courses,where can I talk to an advisor, concordia
Is the sky blue,unknown,where can I talk to an advisor,unknown
What is ai,ai,can I sleep,unknown
what is SOEN 390,concordia,what is 490?,concordia

